sentences;prediction;Y
не удобно пользоваться новой версией системы. особенно что касается выписок и документов к ним.чтобы распечатать документы к выписке , нужно несколько раз переходить, искать. очень не удобно. должно быть видна выписка со всеми документами и кнопка тут же распечатать и выписку и документы к ней.;1;предложение
в истории отображаются только расходы, почему не отображаются поступления и хотелось бы получить поиск в истории.;1;предложение
очень часто долго думает(зависает);0;эмоции
в принципе, все устраивает, оценила на 8. из недочетов- не сразу обновляется информация и не всегда понятно состояние счета, когда ждешь какой нибудь перевод.;0;эмоции
задумка работы системы сбербанк бизнес онлайн понятна, интересна, перспективна. система довольно часто работает со сбоями в проведенииплатёжных документов и получении дополнительной информации.;0;эмоции
один из платежей завис, остальное все хорошо.;0;эмоции
в целом довольны работой системы. однако бывают случаи не проведения документов (отвергаются) по непонятным причинам. документы ставятся в картотеку, затем оплачиваются, а признак картотеки остается до тех пор, пока не обратишься с жалобой с тех.поддержку;0;эмоции
не удобно просматривать платежные поручения, отправленные ранее;0;эмоции
в целом работает быстро и понятно, но иногда не приходя смс для подтверждения и не обновляется выписка и вообще выписка не очень удобная;0;эмоции
шаблоны на платежи нельзя делать с мобильного приложения и нет смс оповещения отпоступоении денежных средств на счёт. это бы во многом упростило работу!;1;предложение
очень неудобно и приходится долго искать, то что нужно. в старой системе было все видно сразу и понятно. в другой компании не стала переходить на новую версию. выписка была компактней и удобней.;0;эмоции
постоянные сбои в системе, запрос на выписку в настоящее время выполняется более 2-х часов;0;эмоции
не совсем удобен поиск платежных поручения. затруднительный ввод кода кбк;1;предложение
к предыдущей системе привыкли, удобно было работать. смысл был все менять, ради красивого дизайна?!;0;эмоции
нет смс оповещения об операциях, в отличие от сбербанк онлайн. в личном кабинете очень сложно разобраться, опять же в отличие от сбербанк онлайн;1;предложение
новый интерфейс неудобный. много функций есть но все равно надо ехать лично в банк. когда полностью будет он лайн похож на 21 век;0;эмоции
перезагруженный, неинформативный интерфейс. новичок, впервые столкнувшийся с системой онлайн-банкинга, будет теряться. менее успешные банки имеют более эффективный программы, такие как фб инноваций и развития, например.;0;эмоции
не удобный поиск (в сравнение с 5 ю базамипо, в которых работаю);1;предложение
обновления с каждым разом ухудшают работу;0;эмоции
происходит сбой при загрузке платежных поручений из 1с. при импорте окно загрузке открывается и не закрывается, не смотря на то что загрузочный файл выбран. старая версия было удобней.;0;эмоции
новая версия интерфейса раздута, отличается от предыдущей, приходится учиться заново;0;эмоции
в обновленной версии много непонятного для меня.;0;эмоции
не удобно работать с шаблонами платежей. не удобная работа с выписками. долго реагирует ответ на письма в банк.;0;эмоции
очень долго поступают деньги на счет,после оплаты с терминала. в субботу и воскресенье вообще не перечесляются! в пятницу перевела деньги себе на карту со счета бизнес и получила только в понедельник! почему?;0;эмоции
в старой версии все было доступней и понятней;0;эмоции
не работает служба поддержки (не дозвониться, чат также не рабртает). не нужная смена интерфейса. низкая информативность.;0;эмоции
не нравится новая программа.;0;эмоции
есть неудобства в новой версии.;0;эмоции
в целом устраивает, за исключением нескольких моментов: очень быстро 'вылетаешь' из личного кабинета, постоянно приходится заново вводить пароль и смс. иногда крайне долго приходят смс, что замедляет работу в бк.;0;эмоции
например, чтобы отменить случайно отправленное платёжное поручение, нужно звонить в банк, что не всегда быстро получается (ввиду ожидания ответа от сотрудников/некорректно работающего тонального режима/не совсем понятных пунктов меню автоинформатора) через вкладку 'письма в банк' можно отправить письмо от отмене, но все равно надо подтверждать звонком в банк... когда дозвонишься подтвердишь, платёжное поручение уже исполнится..;1;предложение
не хватает некоторых опций в приложении;0;эмоции
бывают сбои, после которых восстановление не всегда проходит просто.;0;эмоции
предыдущая версия была удобней в использовании.;0;эмоции
не нравится новый интерфейс;0;эмоции
не удобно. очень неудобно. не видно сколько средств на счету. отражается недостоверная информация. не видно (полностью) реквизиты.работа в новой системе занимает очень много времении не удобнав работе.;0;эмоции
не надо постояно менять алгоритм сайта. пока к одному привыкнешь, вводится следующий . предыдущий был очень удобный в работе. сейчас идут отказы в оплате. хорошо, что сохранен старый вариант. новым не пользуюсь.;0;эмоции
нет прямой связи с исполнителями сбербанка, вопрос о работе задать человеку невозможно;0;эмоции
очень неудобно стало смотреть платежи и создавать их по сравнению со старой версией;0;эмоции
очень не удобно! низкая контрастность,вид платёжного поручения не соответствует виду на бумажном носителе, это очень мешает работе!и ещё много чего старый дизайн намного лучше , это мнение многих моих знакомых!;0;эмоции
мне удобно не выезжая делать платежи on-line и следить за своим расчетным счетом с любой точки, где бы я не была. но в новой версии я никак не могу получить выписку с приложениями. такая услуга была в старой версии. мне необходимо видеть платежное поручение контрагента, т.к. контрагент не всегда правильно указывает назначение платежа, особенно в начале работы или при смене бухгалтера. кроме этого в новой версии не могла подписать документ (платежное поручение на оплату налога). не приходило смс! перешла в старую версию, там сразу получила смс для подписи. причем их столько пришло, сколько раз я запрашивала. пока в новой версии не комфортно, многое непонятно.;0;эмоции
хуже, чем старая версия.;0;эмоции
сложно искать разные файлы;0;эмоции
со старой версией было проще работать,но надеемся и к этой привыкнем.;0;эмоции
новая версия сбербизнесонлайн сырая, либо совсем нет возможности создать шаблон по зарплатному проекту, либо его запрятали так, что трудно найти. период движения средств только месяц, чтобы создать выписку за квартал надо пройти семь кругов ада. пользовался старой версией с удовольствием, но маркетинг и желание нового убивают практичность.;0;эмоции
у нас большая организация оао энерговентиляция и нам изначально был неправильно предложен вашими менеджерами сбербанк онлайн: у нас за день бывает до 30 платежных поручений,приходится заходить под логином главбуха и каждое поручение подписывать её смс-ками, затем заходим под логином руководителя и подписываем его смс-ками,уже сколько раз просили менеджера выслать нам договор на клиент-банк,никакой реакции с вашей стороны,в итоге оплата поставщикам и з/платный проект у нас в другом банке,а в вашем банке мы только передерживаем свободные денежные средства;0;эмоции
новый интерфейс неудобен, прежняяверсия лучше.;0;эмоции
постоянно какие-то проблемы:то техсбой, то страница не открывается,очень плохо работает эта система;0;эмоции
старая версия была привычней а эту надо изучать время нету;0;эмоции
не очень удобен новый интерфейс. старому интерфейсу поставила бы 10.;0;эмоции
1. очень много нужно сделать действий чтобы распечатать выписку. 2. выписку в печатной форме желательно в книжном варианте.;1;предложение
медленно проводятся платежные поручения, например, если документ отправлен в банк вчерашним числом, то исполнение может случится только на следующий день ( сотрудники банка объясняют это какой-то очередью ). а если необходим срочный платеж???;0;эмоции
новая версия сбербанконлайн совершенно не нравится, не удобная навигация, не комфортно в ней работать, прежняя нравится гораздо больше.;0;эмоции
2 раза пришлось обращаться в офис сбербанка ( с ожиданием первый раз -10 мин, а вот 2 раз более часа!!!) для разблокировки учетной записи. а запись блокировалась по загадочным причинам после принудительной смены пароля. при этом системой я пользуюсь менее года.если так и дальше будет - придется сменить банк.;0;эмоции
мало возможностей отбора;1;эмоции
запутанное меню, тяжело загружается. старая версия удобнее.;0;эмоции
платежи уходят и приходят с большой задержкой, смски тоже приходят не регулярно. интерфейс тоже далек от идеала, к примеру сравните с банк клиентом отпбанка.;0;эмоции
старая версия намного удобнее, все более наглядно.;0;эмоции
интуитивно не понятно где что искать. всегда только за месяц. а мне нужно платежи за квартал и год . для налоговой и для контроля;0;эмоции
новый интерфейс абсолютно неудобный в работе и к нему предстоит еще очень долго привыкать. поначалу очень хотелось подключиться к старому интерфейсу, но позвонив в службу теххподержки по обслуживанию клиентов бизнес онлайн, сотрудник пояснил, что к сожалению, это невозможно(((. действительно очень жаль, что совершенно не дали времени для адаптации. далее, задав такие вопросы где можно посмотреть остаток по счетам, как его обновить, я услышал у сотрудника, 'сейчас уточню' и после этого принялся куда-то звонить. это как?! даже сотрудник техподдержки 'бизнесонлайн' не умеет пользоваться обновленным интерфейсом системы 'сбербанкбизнесонлайн'. после этого вы спрашиваете меня об оценке системы 'сбербанкбизнесонлайн'. надеюсь, я понятно все разъяснил...;0;эмоции
при ошибке в фио клиента на зачисление денежных средств в реестре, банк возвращает денежные средства на счет в организацию, вместо оповещения о возможности изменения данных в реестре. например как в россельхоз банке.;1;предложение
очень неудобный интеррфейс, выделение цветом, да и вообще все ужасно;0;эмоции
с необходимого для работы сервиса обмена документами с ифнс и прочими организациями не приходит оповещение на электронную почту. в связи с чем важные решения принимаются не своевременно.;1;предложение
несмотря на то, что обновление прошло уже достаточно давно, привыкнуть к новой системе очень трудно. некоторые функции только в старой системе есть и приходится переходить на прежнюю версию;0;эмоции
в целом неплохо, но бывают сбои при обновлении системы.;0;эмоции
до этого пользовалась другим банк-клиентом , более простой интерфейс был. в целом все неплохо, бываютсложные моменты например с выписками.;0;эмоции
все не удобно и не понятно;0;эмоции
в новом 'сбербанк бизнес онлайн' самый ужасный интерфейс;0;эмоции
нет возможности мгновенно получать сообщения о поступлении средств на счет;1;эмоции
нет указания на конкретные действия, например: пришло уведомление об окончании срока действия ключа. указаний куда идти, по какому адресу, какие документы с собой брать не имеется, соответственно приходится выяснять телефонным опросом.;1;предложение
возможно так только со мной. но мне каждый раз сложно разобраться с интерфейсом после очередного изменения, а подсказки не всегда и понятны и доступны.;0;эмоции
пока не совсем понятно, как работать. со старой системой более удобно;0;эмоции
не удобно функционально, через *опу некоторые функции;0;эмоции
не удобный интерфейс;0;эмоции
актуализация счета только рано утром происходит, и больше не обновляется. нет оповещения через смс о движении денег по счету.;0;эмоции
хотелось бы более широкий фильтр отбора;1;предложение
для того чтобы внести средства на депозит нужно оформлять дополнительное соглашение, зачем?;0;эмоции
обслуживание бизнес-клиентов намного сложнее, чем физических лиц;0;эмоции
тк интерфейс не до конца интуитивно понятен, куда нажать чтобы получить результат;0;эмоции
в старом клиенте можно было делать выписки за большой период, а сейчас только за месяц максиму. нет подсказок при оплате в бюджет (налоги, пфр, омс и т.д.);1;эмоции
в мобильном приложении невозможно подписать платёж ,если получатель не внесен в список контрагентов;1;nan
новый виде не очень удобно вносить текстовое сообщение в платежном поручении;0;эмоции
почему по инн не подбивает реквизиты, у всех клиент банков подбивает. а у вас надо ручками надо;0;эмоции
не очень нравится дизайн, все каким-то мелким шрифтом и вкладки не очень удобны. но это лично для меня.;0;эмоции
иногда система виснет. не доступна информация после 17-00.;0;эмоции
не качественно;0;эмоции
есть технические недоработки. сложный процесс по формировании выписки.;0;эмоции
сыровато;0;эмоции
после обновления стало трудно найти нужную информацию. не устраивает, что выписку по счетам можно скачать только за 100 дней.;1;предложение
платежи не проводят после 17.00,часто виснет, бывают сбои,;0;эмоции
после обновления системы очень сложно привыкнуть и найти нужные продукты и функции;0;эмоции
долгий перевод средств.;0;эмоции
1. моя выручка - только наличные (пока).постоянно сталкиваюсь с проблемой помещения средств на расчетный счет. новые банкоматы принимают до 200 купюр, но не позволяют проводить самоинкасацию. старые банкоматы работают медленно и к ним всегда очередь.(-1 бал) 2. не могу прочитать документы и сообщения. вижу в оранжевом поле значимое число. но кликомничего не открывается. если сообщения действительно есть, то оно должно быть доступно для ознакомления. если сообщений нет, то система не должна отвлекать ложными сигналами. (-1 бал);1;предложение
неудобный интерфейс;0;эмоции
теперь я трачу больше времени чтобы войти в нужный мне раздел. в целом старая система была лучше , нагляднее, проще.может просто привык к ней. по моемупрограммисты не очень представляют себе ту рутину с которой приходится встречаться ежедневно пользователю: проверить поступления, перчислить деньги, распечатать выписку платежа,распечатать баланс за период. то что появились подсказки по правильности заполнения платежек это конесчно плюс. есть и другие плюсы, но в целом мне не нравится.;0;эмоции
старый интерфейс мне нравился значительно больше - все был под рукой, все основные операции можно было сделать быстро и просто. в новом интерфейсе-же все сделано красиво, но крайне не удобно - чтобы сделать выписку приходится совершать кучу лишних кликов, бог знает где находятся необходимые действия. если цель стояла сделать красиво -ну да, что то получилось. но к удобству это ни какого отношения не имеет. дизайнеры интерфейсов, похоже, сами ни когда не работали с интерфейсом и сделали полный шлак. в общем - за интерфейс вам твердая двойка (2) из 5 возможных. в конце-концов должно быть, в первую очередь, удобно и просто и уже потом красиво.;0;эмоции
надо делать много лишних кликов, открывая вкладки. предыдущая версия более проще в работе. и на данный момент у меня нет уже возможности перейти на старую версию. очень жаль.;0;эмоции
раньше было лучше, меньше расплывчатости;0;эмоции
?;0;эмоции
нет возможности выгрузить платежное поручение;1;предложение
трудно понимаемый интерфейс, много нагромождений.;0;эмоции
работает корректно не во всех браузерах. последнее время почему-то стала высвечиваться мобильная версия сначала на компьютере, потом уже переход на обычную.и еще что касается мобильной версии, многие функции не доступны. например, переводы;1;предложение
не очень понятный интерфейс, нет возможности редактирования в момент печатания платежного поручения. всё должно быть понятно интуитивно, например как догадаться, сто стрелочка означает дальнейшее 'кликанье' для проведения операции ?;0;эмоции
нет отметки банка на самой расширенной выписке при не распечатывании платежных поручений;1;предложение
в новой версии нет возможности посмотреть полную сумму оборотов по кредиту за целый день.;1;предложение
если копируешь платеж, то невозможно в нем сразу сделать какие-либо изменения, нужно сначала его сохранить, а только потом редактировать .и такое подобное в других функциях.;1;предложение
интуитивно не понятный интерфейс. в старой версии нужные функции находились быстро, сейчас приходиться копаться и не всегда находишь что нужно;0;эмоции
удобство и функционал на низком уровне (по сравнению с предыдущей версией: - более долгая загрузка страниц пр переходе - почти нет настроек функционала (пытаюсь исправить нумерацию платежек - система выдает номера в какой-то неведомой последовательности, присваивает по два раза статусы 'без ндс');1;предложение
в автомате работает, частные случаи не рассматриваются должным образом;0;эмоции
неоднократно писал замечания припереходе на новую версию никто ничего не менял.;0;эмоции
очень трудно перевести деньги с системы бизнес онлайн на карточку физического лица. долго и трудно ( да и проценты не маленькие) нужно делать множество манипуляций с компьютером и телефоном. должно быть проще и безопаснее. пока трудно и вязко. с уважением ла;0;эмоции
не удобное формирование выписки, не обновляются остатки по счету он лайн, не удобно вводить сумму в платежках;0;эмоции
ничего не понятно где что находится . названия ссылок не интуитивные. не дублируются названия. не ясно где находишься. не актуальные стартовые страницы разделов. окна раздуты и кнопку приходится искать очень далеко внизу. долго обновляется статус счета. нет смс оповещения о поступлении денежных средств.;0;эмоции
я так решил;0;эмоции
система не идеальна , частые сбои которые не могут объяснить сотрудники сбербанка.система будет гибче в случае быстрой технической поддержки , на данном этапе поддержки нет .;0;эмоции
есть недочеты в меню. инвосинг грузится только через интернет експлоер или мозилу.;0;эмоции
в целом все хорошо, но сделали бы какой то видео урок или обучали бы в сбер банках как пользоваться новой системой, а то ввели а обучить что и как нет.. ну ав целом неплохополучилось;1;предложение
я не поставил 10 балов, потому что через систему через смартфон не могу посмотреть обороты по счету и не могу сделать платёжку по зарплатному проекту.;1;предложение
смс сообщенияиногда приходят очень поздно, бывали случаи ,что смс не приходили.;0;эмоции
не нравиться интерфейс. за время моей работы в системе она меняется уже второй раз.;0;эмоции
верните старую версию сбербанк бизнес онлайн;0;эмоции
медленно работает, функции находятся в неочевидных труднодоступных местах.;0;эмоции
новая версия работает безобразно, подгрузить документы невозможно- висит, до техподдержки дозвониться невозможно, при работе с гоз платежку проверяют 2-3 дня, и традиционно высокая стоимость. в общем долго, неудобно, дорого.;0;эмоции
потому что ко всему новому приходится привыкать и всегда есть сложности при освоении - то не могу открыть документ, который присылает служба банка в формате ворд (не знаю связано это с новым дизайном), то не можешь найти привычные документы и т.п.;0;эмоции
пивычнее старая система;0;эмоции
старая версия была проще в работе;0;эмоции
1.банк резервирует суммы денежных средств для списания комиссий, а я не могу видеть эти суммы, следовательно, не могу планировать расходование средств по счёту. 2.тех.поддержка в чате на все вопросы перенаправляет на телефон 8800...., а на телефоне требуется пройти процедуру аутентификации, для чего оператор задаёт недостаточно чётко сформулированные вопросы. 3.невозможно оперативно отозвать платёжное поручение (при необходимости).;1;предложение
нет раздела отправки писем в банк (он в старом интерфейсе), не удобно пролистывать платжки на подпись (часто там висят просроченные платежки, которые нельзя удалить);1;предложение
мелкий шрифт на платежных поручениях медленно работает в часы пик не исправлена орфографическая ошибка в наименовании организации;0;эмоции
высокая стоимость обслуживания;0;эмоции
не всегда получаем ответ на письма , не всегда работает оперативно отзыв платежных поручений;0;эмоции
есть не большие не удобства.;0;эмоции
порой не очень интуитивна;0;эмоции
письма в банк остаются без ответа, никто на них не реагирует, до тех пор, пока не позвонишь менеджеру (что получается с большим трудом - дозвониться) и не спросишь что с ответом и будет ли он. нам ответили на запрос один раз, при том, что пришлось много раз позвонить в обслуживающий офис.;0;эмоции
очень не информативная первая страница....надо думать какой раздел открыть, чтоб начать работу;0;эмоции
не очень удобный поиск п/п;0;эмоции
заблокировали карту;0;эмоции
плохо работает обратная связь: отправляем документы (письма. заявки, заявления), получаем статус 'принят' или 'обработан', а бывало и так, что в результате документ не исполнен по каким-то причинам и нас об этом не проинформировали.;0;эмоции
в целом всё устраивает, немного неудобно создавать копии документов;0;эмоции
постоянные проблемы с системой одноразовых паролей - приходят с большой задержкой, приходят будущей датой (декабрь 2017 года), приходят смс с неправильными номерами платежных поручений. неоднократно оставляли обращения, ситуация не меняется. техподдержка ничем не помогает: то телефон плохой, то оператор. смс-оповещения от другого банка на тот же телефон и номер приходят без сбоев.;0;эмоции
изменения очень неудобны для работы.верните прежний формат.;0;эмоции
операции по корпоративной карте отражаются на 5-й и более день. никогда точно не знаешь остаток на счету.;0;эмоции
новый интерфейс просто ужасен, глюки при загрузке платежных поручений из 1с, выгрузку выписок в 1с черт возьми как мозг нужно сломать чтобы найти. в новом интерфейсе исчезла пакетная обработка платежных поручений.;1;предложение
не совершенен алгоритм поиска платежей по 'истории платежей'. как правило поиск не даёт результата при этом требует ввод многих параметров для поиска платёжки.;1;предложение
непонятный интерфейс, всё запутанно;0;эмоции
я оценила вашу систему именно так, потому что в последнее время я посещаю отделение банка для разблокировки счета, для поправки всяких незначительных мелочей каждый день! я трачу свое время, деньги и нервные клетки! я очень недовольна вашей работой! я не могу нормально работать, постоянно создаете какие то препятствия!;0;эмоции
при обновлении сайта,было не которое время замешательство, потому что изменилось привычное меню документов и их формирование .;0;эмоции
зачем нужно было менять интерфейс? все так было до этого удобно, что бы заново разбираться что к чему!!!;0;эмоции
удобный, интуитивно понятный интерфейс и визуализация.не удобна частая смена паролей для входа в систему, периодически не работает служба обмена письмами с банком.;0;предложение
после импорта платежных поручений не ставится номер по порядку автоматически, если делать копирование, а только создаешь когда новый. много манипуляций для копирования платежного поручения. чтобы узнать сумму платежных поручений нужно зайти во вкладку созданные, раньше удобнее было.;1;предложение
1. невозможно подписать нового контрагента сразу из платежки, приходится заходить в справочник 'контрагенты', заводить там нового контрагента и только потом подписывать, а это не удобно, т.к. мы платежки вызгужаем из 1с и там предварительно заводим этого контрагента, а потом в сббол приходится ещё раз заводить контрагента. 2. нет возможности подписать сразу несколько платежек, приходиться каждую подписывать отдельно, нажимая для подписания одной платежки 3 кнопки, т.е. при подписании 30 платежек приходиться 'кликать' 90 раз.;1;предложение
зачем поменяли отлаженную систему.;0;эмоции
слишком долгий вход: пин-код, логин, пароль. я понимаю, что это для нашей же безопасности, но все же. нет возможности выгрузки валютных выписок при открытии депозита ( в целом это делать удобно) 2 раза программа записывала срок меньше, чем указывалось в форме заявки (30 ней вместо 31), и тогда терялась выгода при пролонгации;1;предложение
очень не удобный интерфейс.и никто не может проконсультировать!!!!;0;эмоции
это оценка старой системы (8) и новой (3);0;эмоции
платежные поручения выполнять ужасно. в старом дизайне было все понятно.;0;эмоции
мне все понятно. пользоваться удобно.;0;эмоции
не всегда удобно выполнить платёж, проще это сделать не через мобильное приложение.;0;эмоции
новая система мне не нравится, много непонятного.;0;эмоции
неудобная, не сразу найдешь, что нужно, приходится много раз нажимать на разные кнопки. старая система была гораздо удобнее;0;эмоции
до последнего обновления система была проще;0;эмоции
не устраивает новый сервис, в старом варианте все было наглядно: и обороты по дням, и платежки, и формировать документы легче, и выписку за период сформировать проблема, только за месяц, мне удобнее поквартально. верните старую версию;1;предложение
не нравится дизайн, не нравится формирование выписок;0;эмоции
не нравиться программа в новой версии;0;эмоции
данная система ориентирована немикро ип в одном лице, не ведущего никакого бухгалтерского учета. для бизнеса не удобно, не информативно, слишкомзапутано в ссылках и неудобно в загрузке и выгрузке документов из других программ ( в частности 1с);0;эмоции
очень не удобно;0;эмоции
не удобно стало после последних обновлении... до этого всё было на оценку 10++++;0;эмоции
неудобная система. тормозит. невозможно отменить ошибочный платеж;1;предложение
наплевательское отношение к замечаниям на недочёты и неудобства- в основном это касается нового кривого дизайна в котором информация не бьётся на блоки с важным и второстепенным, а перемешивается в единую массу на экране;0;эмоции
долго приходится ждать ответа на посланные письма в банк.;0;предложение
слишком много лишних телодвижений добавили,лично мне неудобных. хотя некоторые нововведения вполне хороши.;0;эмоции
"в целом очень удобно работать через интернет, но уже несколько раз было проведено обновление программы, которое, по моему мнению, усложнило работу бухгалтера. приходится во-первых, пользоваться инструкцией по пользованию, а это более 200 листов машинописного текста; во-вторых, стало намного больше времени получить выписку печатной формы для обработки; в-третьих, я думаю, что необходимо делать доступ на демо-версии по обновлению интерфейса, а не как обухом по голове, пришел на работу и сразу работай только в программе с обновленным интерфейсом, хоть караул кричи. не знаешь, куда бежать из-за этого обновления!!!! а нужно ведь работать!!! времени на изучение ваших инструкций абсолютно нет. не делайте кардинальных изменений!!!!!!!!!!!!!!";1;предложение
по несколько дней не обновляется сколько денег на счёте .;0;эмоции
я длительное время работал в старом дизайне сбербанк бизнес онлайн , я к нему привык . перейдя на новый дизайн мне не все понятно что где находится , приходится искать.;0;эмоции
потому что именно ни столько в ней удобно работать..что-то очень удобно - прям на 10+, а что-то просто ну совсем не удобно..;0;эмоции
иногда долго приходится ждать смс с паролем;0;эмоции
долго загружается первая страница;0;эмоции
26.06.2017 не загружался реестр на выплату зп;0;эмоции
в целом я доволен работой, просто не бывает всё идеально, поэтому оставил пару баллов на совершенствование.;0;эмоции
при переводе денег на карту со счета приходится ожидать длительное время (если это не зарплатный проект). невозможно перевести деньги в выходные, так же в выходные дни не происходит зачисление денег с терминала на счет;1;предложение
консервативность. интерфейс старой версии удовлетворял полностью. все операции были просты и интуитивно понятны даже новичку, чего не скажешь о новой версии. и, крайне неприятен принудительный переход к новой версии и невозможность вернуться к старой.;0;эмоции
иногда очень долго думает;0;эмоции
в последнее время участились технические сбои ( долго не приходят смс-оповещения). а в целом хорошая система.;0;эмоции
неудобноезаполнениеплатёжек;0;эмоции
1. не очень удобно наличие ограничения объема пересылаемых сообщений в банк. например, скан договора приходится дробить и переправлять несколькими письмами.;1;предложение
1. нет возможности создать чистый шаблон и его редактирования. 2. отсутствие кнопки обновления списка платежных поручений и денежных средств на счете.в старой версии это было доступно и удобно.;1;предложение
в связи с тем, что иногда система не работает из-за сбоев или технических неполадок;0;эмоции
кардинально измененный онлайн банк, без подсказок приводит в ступор. вроде как он понятен, но даже слова в панелях управления значительно отличаются от предыдущей версии. и самое несмешное слышали бы вы как о вашей обновленной по в банкоматах отзываются старики, которое кординально отличается от предыдущей и которое еще подзависает.;1;предложение
бывают задержки с смс-ками. нельзя посмотреть подробную расшифровку документов на картотеке.;1;предложение
нет актуальности по счетам(задержка списания средств);0;эмоции
автоматически включился новый интерфейс, ужасно не удобный для меня. привык к старому где все было понятно и доступно;0;эмоции
бывают сбои;0;эмоции
все шло нормально до этой недели. теперь платеж, по которому был отказ абс - висит в проведенных суммах;1;предложение
самый ужасный банк, начиная от людей/сотрудников банка, заканчивая системой клиентоориентированности и обратной связи (ни разу за год я не получил звонка, хотя просил много раз и т.п..) устал бороться и терпеть все это, поэтому закрываю р/с и ухожу.;0;эмоции
зачем менять настройки, только привыкаешь и учись по новому?;0;эмоции
этому новому интерфейсу ещё есть куда расти. внимание на тинькофф и точку;0;эмоции
подвисает программа;0;эмоции
новая система не удобна, остатки по дням не видны, выписки выгружать не удобно, не знаю как привыкнуть , работаю уже месяц, очень замедляет работу;1;предложение
постоянные сбои в системе платежей. зависание платежей на длительный срок. плохое обслуживание;1;предложение
меню изменили полностью. занимает много времени, что бы найти нужную информацию. программа доработана не полностью, порой необходим переход в старую версию. пока улучшений нет. одни проблемы. трудозатраты на проведение операций в бизнес онлайн увеличились. не каждый может позволить себе выделить дополнительно время на обучение в вашей новой версии не получив ни чего в замен.;0;эмоции
новая версия сбербанка бизнес онлайн в целом неплохая, но очень неудобно, что выписку возможно сделать только за 100 дней (хотелось бы 365 дней)...,долго обновляется состояние счета, не очень удобный дизайн.;0;предложение
новый интерфейс не удобный, не понятно где что лежит. в старом формате всё логично. и это не из-за привычки пользования. на самом деле не удобно стало.;0;эмоции
очень неудобно;0;эмоции
мне не нравится новая система оплаты по платёжным поручениям, старая была для меня удобней и проще.;0;эмоции
часто ставят запрет платежей без основания, отказ ни как ни комментируют, информацию до клиента не доводят;1;предложение
новый интерфейс не совсем удобен в работе. плюсы его только в том, что символы на экране крупнее и выписку формировать удобнее. подписывать документы по одному совсем не удобно.;1;предложение
заходишь неизвестно куда, а чтобы попасть на главную страницу даже операторы затрудняются, а вообщем ставить нужно 1;0;эмоции
некоторые моменты не понятны;0;эмоции
новый стиль меня не утраевает . старая версия намного проще;0;эмоции
не очень удобный интерфейс;0;эмоции
не всегда удобно и понятно;0;эмоции
периодически недоступны некоторые функции в мобильном приложении, например создание и отправка платежки, что создаёт неудобства;0;эмоции
совершенствуйтесь;0;эмоции
система не для людей, интерфейс не продуман, все через *опу;0;эмоции
задержки с обновлением остатков.;0;эмоции
не очень нравится последнее обновление,может быть надо привыкнуть.в старой лучше всё было видно.;0;эмоции
усложнили интерфейс;0;эмоции
постоянные проблемы с идентификацией компании при входе в систему( не распознает пароль);0;эмоции
менее прозрачный удобный интерфейс по сравнению с предыдущим;0;эмоции
реализуйте, пожалуйста, возможность создавать зарплатные ведомости в приложении. сейчас их можно только подписывать;1;предложение
после обновления интерфэиса, стало хуже. менее удобнее, хуже видно, меньше возможностей. да и в старом можно было много чего улучшить. все остальные советы по оптимизации за оплату));1;предложение
привык работать в старой версии.в новой версии не могу разобраться ,не могу перевести деньги на другой счет.;0;эмоции
средняя оценка. есть сбои в самые нужные моменты, задержки по срокам передачи платежей.обслуживание счета на мой взгляд дорогое для малого ип.;0;эмоции
в новой версии сббол не очень удобная форма формирования выписок. так например. в отличие от старой версии, нет варианта выбора периода как ' за предыдущий день' и 'за последние три дня'. эти функции были в старом варианте и были востребованы. так же исчезла возможность скачивания выписки с автоматическим присвоением имени файлу kl_to_1c, что привело существенным неудобствам загрузки выписок в программу 1с.;1;предложение
когда распечатываешь расширенную выписку, видно все, включая назначение платежа подробно (№ счета, накладной и т.д.) более поздняя версия не дает распечатать назначение платежа, что неудобно и в дальнейшем может затруднить поиск.;1;предложение
постоянно обрываются сессии, приходится перезагружаться. нельзя сделать платежку завтрашним числом и послать ее в банк так, чтобы платеж был проведен завтра.;1;предложение
нет смс оповещения о поступлении средств на р/сч;1;предложение
в новой версии интуитивно не всегда понятно как перейти к следующему шагу. приходится достаточно долго искать.;0;эмоции
нет возможности оплачивать картой в интернете.;0;эмоции
бывают не понятные сбои;0;эмоции
в принципе нормально, нов обзоре платежей, например не все важные поля можно посмотреть, приходится прокручивать бегунок;1;предложение
не пoнятнooт кoгo пришли средства, пoка не зайдешь в выписку, фильтр для пoиска не удoбный;1;предложение
не очень удобно работать в новом интерфейсе.раньше было удобнее.приходится тратить время,чтобы найти то,что нужно или возвращаться в старый интерфейс.может быть можно как то оптимизировать работу,наверно,нужно изучить,но к сожалению все время занято;0;эмоции
несовершенство(отсутствие возможности позвонить в банк с вопросом,отсутствие банка в городе,глюки программы при слабом интернете,и.т.д),сотрудничество с налоговым органом(постоячнные аресты счетов).;0;эмоции
нет возможности удалённо через смартфон, оплачивать новых контрагентов;1;предложение
не нравится интерфейсочень путан стал новый;0;эмоции
после обновления сбербанк бизнес онлайн, до сих пор невозможно загружать зарплатные реестры и подписывать их, в связи с тем что программаваша не воспринимает такой вариант, что зарплатный проект открыт в сбербанке (без расчетного счета в сбербанке) а расчетный счет имеет в другом банке.;1;предложение
